Slice,Count,Total Area,Average Size,%Area
plate01.nd2 - plate01.nd2 (series 01) - C=0,1527,283848.867,185.887,4.596
plate01.nd2 - plate01.nd2 (series 02) - C=0,643,134532.584,209.226,2.178
plate01.nd2 - plate01.nd2 (series 03) - C=0,408,83530.958,204.733,1.353
plate01.nd2 - plate01.nd2 (series 04) - C=0,266,47887.659,180.029,0.775
plate01.nd2 - plate01.nd2 (series 05) - C=0,92,16663.388,181.124,0.270
plate01.nd2 - plate01.nd2 (series 06) - C=0,49,9388.390,191.600,0.152
plate01.nd2 - plate01.nd2 (series 07) - C=0,31,5889.523,189.985,0.095
plate01.nd2 - plate01.nd2 (series 08) - C=0,23,4979.415,216.496,0.081
plate01.nd2 - plate01.nd2 (series 09) - C=0,4,256.321,64.080,0.004
plate01.nd2 - plate01.nd2 (series 10) - C=0,6,1181.925,196.988,0.019
plate01.nd2 - plate01.nd2 (series 11) - C=0,6,1518.242,253.040,0.025
plate01.nd2 - plate01.nd2 (series 12) - C=0,14,1493.113,106.651,0.024
plate01.nd2 - plate01.nd2 (series 13) - C=0,22,4371.700,198.714,0.071
plate01.nd2 - plate01.nd2 (series 14) - C=0,43,8897.108,206.909,0.144
plate01.nd2 - plate01.nd2 (series 15) - C=0,64,12858.359,200.912,0.208
plate01.nd2 - plate01.nd2 (series 16) - C=0,106,24653.320,232.578,0.399
plate01.nd2 - plate01.nd2 (series 17) - C=0,213,42839.557,201.125,0.694
plate01.nd2 - plate01.nd2 (series 18) - C=0,391,88184.108,225.535,1.428
plate01.nd2 - plate01.nd2 (series 19) - C=0,742,164034.646,221.071,2.656
plate01.nd2 - plate01.nd2 (series 20) - C=0,1542,314894.719,204.212,5.099
plate01.nd2 - plate01.nd2 (series 21) - C=0,1679,322944.124,192.343,5.229
plate01.nd2 - plate01.nd2 (series 22) - C=0,811,177796.829,219.232,2.879
plate01.nd2 - plate01.nd2 (series 23) - C=0,548,119891.285,218.780,1.941
plate01.nd2 - plate01.nd2 (series 24) - C=0,200,49134.921,245.675,0.796
plate01.nd2 - plate01.nd2 (series 25) - C=0,132,24611.018,186.447,0.399
plate01.nd2 - plate01.nd2 (series 26) - C=0,59,13862.283,234.954,0.224
plate01.nd2 - plate01.nd2 (series 27) - C=0,24,4968.945,207.039,0.080
plate01.nd2 - plate01.nd2 (series 28) - C=0,16,3179.304,198.706,0.051
plate01.nd2 - plate01.nd2 (series 29) - C=0,3,714.935,238.312,0.012
plate01.nd2 - plate01.nd2 (series 30) - C=0,6,876.183,146.030,0.014
plate01.nd2 - plate01.nd2 (series 31) - C=0,6,1494.788,249.131,0.024
plate01.nd2 - plate01.nd2 (series 32) - C=0,10,2200.928,220.093,0.036
plate01.nd2 - plate01.nd2 (series 33) - C=0,14,2915.025,208.216,0.047
plate01.nd2 - plate01.nd2 (series 34) - C=0,28,7590.792,271.100,0.123
plate01.nd2 - plate01.nd2 (series 35) - C=0,63,14108.971,223.952,0.228
plate01.nd2 - plate01.nd2 (series 36) - C=0,116,26579.917,229.137,0.430
plate01.nd2 - plate01.nd2 (series 37) - C=0,215,49972.572,232.431,0.809
plate01.nd2 - plate01.nd2 (series 38) - C=0,459,104655.255,228.007,1.695
plate01.nd2 - plate01.nd2 (series 39) - C=0,799,182322.657,228.189,2.952
plate01.nd2 - plate01.nd2 (series 40) - C=0,2209,434200.067,196.560,7.031
